XII,171,,,,,S.B. 1,905000,,,,,,,,,1
XII,171,20112,8,,15-16,"ἐφ̣[. .]|λογισμο → ἐφ[οδίου δια]|λογισμοῦ, P. Ben. Mus. 1, S. 52.",,,boyer,20112,,nicht DCLP,,,ok,2
XII,171,"80941, 80942",13-14,,,Vgl. S.E.G. 48. 2043.,,,boyer,nicht gefunden,Inscription,nicht DCLP,S.E.G.,gibt es nicht,ok,3
XII,172,103149,171,,,Vgl. S.E.G. 51. 2091.,,,boyer,nicht gefunden,Inscription,nicht DCLP,S.E.G.,Ordner gibt es nicht,ok,4
XII,172,93300 - 93301 ,237-238,,,Vgl. S.E.G. 52. 1795.,,,boyer,nicht gefunden,Inscription,nicht DCLP,S.E.G.,,ok,5
XII,172,92252,243,,,Vgl. S.E.G. 51. 2018.,,,boyer,nicht gefunden,Inscription,nicht DCLP,S.E.G.,,ok,6
XII,172,47495,251,,,Vgl. S.E.G. 50. 1550.,,,boyer,nicht gefunden,Inscription,nicht DCLP,S.E.G.,,ok,7
XII,172,6479,307,,,Siehe die Ber. zu S.B. 20. 15161.,,,boyer,nicht gefunden,Inscription,nicht DCLP,,,ok,8
XII,172,103192,312,,,Vgl. S.E.G. 49. 2113.,,,boyer,nicht gefunden,Inscription,nicht DCLP,S.E.G.,,ok,9
XII,172,47693,327,,,"Nd. mit Photo: É. Bernand, Inscriptions d’Alexandrie ptolémaïque, Nr. 43 und Pl. 23.",,,boyer,nicht gefunden,Inscription,nicht DCLP,,,ok,10
XII,172,93322,328,,,"Nd. mit Faksimile: É. Bernand, Inscriptions d’Alexandrie ptolémaïque, Nr. 68 und Pl. 32, und vgl. S.E.G. 51. 2094, Nr. 4.",,,boyer,nicht gefunden,Inscription,nicht DCLP,S.E.G.,,ok,11
XII,172,93327,335,,,Vgl. S.E.G. 49. 2113.,,,boyer,nicht gefunden,Inscription,nicht DCLP,S.E.G.,,ok,12
XII,172,47446,336,,,"Nd. mit Photo: É. Bernand, Inscriptions d’Alexandrie ptolémaïque, Nr. 44 und Pl. 24.",,,boyer,nicht gefunden,Inscription,nicht DCLP,,,ok,13
XII,172,6497,403,,,"Nd. mit Photo: É. Bernand, Inscriptions d’Alexandrie ptolémaïque, Nr. 66 und Pl. 32, und vgl. S.E.G. 51. 2094, Nr. 3.",,,boyer,nicht gefunden,Inscription,nicht DCLP,S.E.G.,,ok,14
XII,172,103218,431,,,Vgl. S.E.G. 48. 2005.,,,boyer,nicht gefunden,Inscription,nicht DCLP,S.E.G.,,ok,15
XII,172,93397,478,,,"Ἀρατίδα → Κρατίδα, G. Nachtergael, Analecta Pap. 12 (2000), S. 277.",,,boyer,nicht gefunden,Inscription,nicht DCLP,,,ok,16
XII,172,93462,543,,,"Νικάσηνος → Νικασίωνος, G. Nachtergael, Analecta Pap. 12 (2000), S. 277.",,,boyer,nicht gefunden,Inscription,nicht DCLP,,,ok,17
XII,172,93482,563,,,"Φαινίδα → Φαινίλα, G. Nachtergael, Analecta Pap. 12 (2000), S. 277.",,,boyer,nicht gefunden,Inscription,nicht DCLP,,,ok,18
XII,172,93488,569,,,"[. .]κέστου → [Ἐξ]ακέστου, G. Nachtergael, Analecta Pap. 12 (2000), S. 277.",,,boyer,nicht gefunden,Inscription,nicht DCLP,,,ok,19
XII,172,93502,583,,,"Πασικρα → Πασικρά(της), G. Nachtergael, Analecta Pap. 12 (2000), S. 277.",,,boyer,nicht gefunden,Inscription,nicht DCLP,,,ok,20
XII,172,6533,589,,,"Nd. mit Photo: É. Bernand, Inscriptions d’Alexandrie ptolémaïque, Nr. 62 und Pl. 31.",,,boyer,nicht gefunden,Inscription,nicht DCLP,,,ok,21
XII,172,103227,596,,,"Vgl. S.E.G. 49. 2113. Nd. mit Photo: É. Bernand, Inscriptions d’Alexandrie ptolémaïque, Nr. 52 und Pl. 26. Zu datieren in die Kaiserzeit, J. Bingen, Chr.d’Ég. 77 (2002), S. 346 (zu Bernand,Inscriptions d’Alexandrie ptolémaïque).",,,boyer,nicht gefunden,Inscription,nicht DCLP,S.E.G.,,ok,22
XII,172,6535,597,,,"Vgl. S.E.G. 49. 2108. Nd. mit Photo: É. Bernand, Inscriptions d’Alexandrie ptolémaïque, Nr. 19 und Pl. 8.",,,boyer,nicht gefunden,Inscription,nicht DCLP,S.E.G.,,ok,23
XII,172,6537,599,,,"Nd.: É. Bernand, Inscriptions d’Hermoupolis Magna, Nr. 4. Vgl. S.E.G. 52. 1782 bis.",,,boyer,nicht gefunden,Inscription,nicht DCLP,S.E.G.,,ok,24
XII,172,103229,607,,,"Nd.: É. Bernand, Inscriptions d’Alexandrie ptolémaïque, Nr. 64.",,,boyer,nicht gefunden,Inscription,nicht DCLP,,,ok,25
XII,172,103230 - 105384,616,,,Nd.: vgl. S.E.G. 51. 2195.,,,boyer,nicht gefunden,Inscription,nicht DCLP,S.E.G.,,ok,26
XII,172,6542,620,,,Siehe unter C. Ord. Ptol. 64.,,,boyer,nicht gefunden,Inscription,nicht DCLP,,,ok,27
XII,172,6543,623,,,Nd.: vgl. S.E.G. 51. 2138.,,,boyer,nicht gefunden,Inscription,nicht DCLP,S.E.G.,,ok,28
XII,172,103251,699,,,Vgl. S.E.G. 50. 1615.,,,boyer,nicht gefunden,Inscription,nicht DCLP,S.E.G.,,ok,29
XII,172,103273,722,,,Vgl. S.E.G. 52. 1787.,,,boyer,nicht gefunden,Inscription,nicht DCLP,S.E.G.,,ok,30
XII,172,103275,724,,,Vgl. S.E.G. 51. 2091.,,,boyer,nicht gefunden,Inscription,nicht DCLP,S.E.G.,,ok,31
XII,172,103278,729,,,Vgl. S.E.G. 51. 2091.,,,boyer,nicht gefunden,Inscription,nicht DCLP,S.E.G.,,ok,32
XII,172,32075,821,,,"Σαουᾶ: variante Schreibweise für Σαουᾶς, G. Nachtergael",,,boyer,32075,,nicht DCLP,,,ok,33
XII,173,,,,,"bei K. Parlasca, Chr.d’Ég. 76 (2001), S. 274, Anm. 4.",,,boyer,,,,,,ok,34
